Date,Open,High,Low,Close,Adj Close,Volume
2022-11-02,438.019989,438.369995,438.019989,438.019989,438.019989,0
2022-11-03,438.369995,438.670013,438.369995,438.369995,438.369995,0
2022-11-04,438.670013,438.880005,438.670013,438.670013,438.670013,0
2022-11-07,438.880005,442.000000,438.880005,438.880005,438.880005,0
2022-11-08,439.260010,442.000000,439.260010,439.260010,439.260010,0
2022-11-09,439.529999,439.790009,438.880005,439.529999,439.529999,0
2022-11-10,439.790009,442.000000,439.790009,439.790009,439.790009,0
2022-11-11,440.130005,443.000000,440.130005,440.130005,440.130005,0
2022-11-14,440.459991,443.000000,440.459991,440.459991,440.459991,0
2022-11-15,440.829987,441.190002,440.829987,440.829987,440.829987,0
2022-11-16,441.190002,442.000000,441.190002,441.190002,441.190002,0
2022-11-17,441.190002,441.850006,441.190002,441.190002,441.190002,0
2022-11-18,441.850006,442.160004,441.850006,441.850006,441.850006,0
2022-11-21,442.160004,442.489990,442.000000,442.160004,442.160004,0
2022-11-22,442.489990,443.000000,442.000000,442.489990,442.489990,0
2022-11-23,442.630005,442.799988,442.630005,442.630005,442.630005,0
2022-11-24,442.799988,442.950012,442.799988,442.799988,442.799988,0
2022-11-25,442.950012,443.049988,442.760010,442.950012,442.950012,0
2022-11-28,442.760010,443.369995,442.760010,442.760010,442.760010,0
2022-11-29,443.369995,443.440002,443.369995,443.369995,443.369995,0
2022-11-30,443.440002,443.440002,443.440002,443.440002,443.440002,0
2022-12-01,443.440002,443.450012,443.440002,443.440002,443.440002,0
2022-12-02,443.450012,443.670013,443.450012,443.450012,443.450012,0
2022-12-05,443.670013,444.040009,443.000000,443.670013,443.670013,0
2022-12-06,444.040009,444.040009,444.040009,444.040009,444.040009,0
2022-12-07,444.309998,444.420013,443.000000,444.309998,444.309998,0
2022-12-08,444.309998,445.000000,443.000000,444.309998,444.309998,0
2022-12-09,444.470001,445.000000,444.470001,444.470001,444.470001,0
2022-12-12,444.470001,444.649994,443.000000,444.470001,444.470001,0
2022-12-13,444.649994,444.809998,444.649994,444.649994,444.649994,0
2022-12-14,444.809998,450.000000,444.809998,444.809998,444.809998,0
2022-12-15,444.959991,444.980011,444.959991,444.959991,444.959991,0
2022-12-16,444.959991,444.970001,444.959991,444.959991,444.959991,0
2022-12-19,444.970001,450.000000,444.970001,444.970001,444.970001,0
2022-12-20,445.459991,445.519989,445.000000,445.459991,445.459991,0
2022-12-21,445.459991,455.000000,445.459991,445.459991,445.459991,0
2022-12-22,445.459991,446.130005,445.000000,445.459991,445.459991,0
2022-12-23,446.130005,446.149994,445.000000,446.130005,446.130005,0
2022-12-26,446.130005,446.149994,446.130005,446.130005,446.130005,0
2022-12-27,446.149994,446.179993,446.130005,446.149994,446.149994,0
2022-12-28,446.130005,446.140015,446.130005,446.130005,446.130005,0
2022-12-29,446.140015,447.079987,446.140015,446.140015,446.140015,0
2022-12-30,447.079987,447.579987,447.079987,447.079987,447.079987,0
2023-01-02,447.579987,447.579987,447.579987,447.579987,447.579987,0
2023-01-03,447.579987,448.049988,445.000000,447.579987,447.579987,0
2023-01-04,448.049988,448.510010,448.049988,448.049988,448.049988,0
2023-01-05,448.510010,449.029999,448.510010,448.510010,448.510010,0
